{0, 1, 2, 3, 5, 12, 19, 20, 33, 38, 42, 57, 58, 59, 63, 77}, 
{0, 1, 2, 4, 12, 21, 23, 29, 35, 39, 43, 46, 48, 51, 62, 71}, 
{0, 1, 2, 9, 12, 14, 27, 44, 45, 50, 53, 56, 59, 61, 69, 73}, 
{0, 1, 3, 8, 9, 16, 20, 29, 41, 45, 51, 53, 61, 66, 72, 74}, 
{0, 1, 3, 12, 17, 21, 29, 36, 38, 43, 47, 52, 53, 57, 63, 71}, 
{0, 1, 4, 8, 14, 31, 34, 36, 42, 48, 54, 63, 65, 67, 75, 78}, 
{0, 1, 4, 9, 11, 15, 16, 22, 29, 35, 41, 44, 45, 62, 74, 76}, 
{0, 1, 4, 13, 14, 20, 21, 24, 26, 33, 38, 39, 43, 49, 64, 66}, 
{0, 1, 4, 15, 21, 24, 31, 37, 41, 42, 51, 57, 66, 67, 74, 76}, 
{0, 1, 5, 6, 9, 10, 12, 19, 21, 22, 23, 25, 26, 42, 52, 53}, 
{0, 1, 5, 8, 9, 10, 26, 38, 39, 41, 48, 52, 58, 63, 64, 75}, 
{0, 1, 6, 7, 17, 19, 26, 32, 39, 64, 65, 69, 71, 74, 76, 79}, 
{0, 1, 6, 7, 27, 32, 35, 40, 43, 46, 57, 66, 68, 73, 77, 78}, 
{0, 1, 6, 12, 21, 25, 33, 39, 44, 45, 49, 52, 56, 61, 72, 77}, 
{0, 1, 7, 12, 19, 22, 36, 38, 44, 46, 47, 55, 57, 62, 74, 78}, 
{0, 1, 12, 19, 26, 28, 30, 33, 41, 48, 51, 58, 60, 64, 68, 71}, 
{0, 1, 14, 19, 26, 32, 41, 44, 46, 49, 54, 57, 60, 67, 76, 79}, 
{0, 1, 16, 19, 21, 29, 40, 47, 53, 54, 57, 67, 70, 73, 75, 77}, 
{0, 2, 3, 5, 10, 14, 17, 31, 42, 44, 50, 59, 61, 64, 66, 70}, 
{0, 2, 3, 6, 7, 18, 22, 23, 24, 35, 47, 49, 51, 65, 66, 72}, 
{0, 2, 3, 9, 11, 14, 17, 19, 20, 23, 36, 45, 46, 48, 55, 70}, 
{0, 2, 4, 5, 7, 17, 24, 47, 50, 54, 56, 58, 63, 67, 71, 77}, 
{0, 2, 4, 8, 14, 25, 29, 30, 33, 46, 55, 60, 61, 66, 72, 74}, 
{0, 2, 5, 11, 25, 28, 30, 31, 40, 41, 43, 55, 57, 59, 74, 79}, 
{0, 2, 7, 10, 19, 20, 21, 25, 35, 51, 58, 59, 61, 66, 70, 71}, 
{0, 3, 4, 6, 13, 15, 19, 43, 48, 49, 51, 59, 64, 67, 75, 77}, 
{0, 3, 6, 7, 9, 12, 13, 33, 34, 36, 41, 48, 49, 52, 64, 65}, 
{0, 3, 7, 16, 17, 19, 22, 27, 30, 35, 40, 41, 58, 61, 70, 73}, 
{0, 3, 21, 23, 33, 36, 44, 51, 56, 57, 59, 62, 65, 67, 76, 78}, 
{0, 4, 6, 7, 13, 14, 21, 30, 31, 35, 51, 56, 65, 66, 72, 77}, 
{0, 4, 7, 10, 14, 20, 23, 26, 41, 42, 44, 45, 56, 59, 74, 78}, 
{0, 4, 9, 17, 19, 28, 39, 40, 46, 57, 62, 67, 73, 74, 76, 77}, 
{0, 4, 10, 21, 24, 28, 32, 43, 46, 54, 55, 67, 68, 72, 73, 76}, 
{0, 5, 6, 14, 16, 19, 20, 31, 36, 37, 53, 56, 57, 67, 72, 78}, 
{0, 5, 7, 12, 22, 24, 27, 36, 37, 41, 50, 51, 61, 62, 74, 78}, 
{0, 5, 12, 14, 16, 17, 22, 26, 29, 34, 47, 54, 58, 65, 66, 72}, 
{0, 5, 13, 17, 18, 28, 29, 40, 43, 44, 48, 53, 55, 64, 67, 71}, 
{0, 6, 10, 12, 18, 19, 30, 41, 43, 44, 54, 61, 65, 74, 75, 78}, 
{0, 6, 15, 16, 21, 27, 28, 33, 37, 42, 44, 54, 59, 60, 72, 74}, 
{0, 6, 16, 18, 20, 29, 34, 35, 40, 41, 42, 51, 60, 61, 73, 79}, 
{0, 7, 16, 17, 29, 32, 41, 42, 47, 52, 58, 60, 63, 64, 66, 67}, 
{0, 8, 15, 24, 31, 33, 34, 40, 41, 50, 53, 54, 57, 60, 64, 77}, 
{0, 8, 16, 24, 29, 33, 35, 43, 50, 52, 57, 66, 68, 72, 73, 74}, 
{0, 8, 23, 25, 26, 32, 40, 43, 46, 50, 51, 52, 57, 58, 59, 78}, 
{0, 10, 11, 15, 17, 22, 24, 31, 35, 41, 49, 52, 54, 59, 66, 73}, 
{0, 10, 11, 28, 30, 33, 37, 38, 40, 44, 54, 58, 64, 67, 75, 76}, 
{0, 14, 15, 19, 23, 24, 28, 29, 32, 43, 48, 51, 62, 67, 72, 77}, 
